,Title,Content,URL
0,"바이든, 코로나19 백신 공개 접종…""걱정할 것 없다""(종합)","ABC 등 현지 언론 생중계에 따르면, 바이든 당선인은 이날 배우자인 질 바이든과 함께 델라웨어 뉴어크에서 화이자의 코로나19 백신을 공개 접종했다. 검은 티셔츠 차림에 마스크를 착용한 바이든 당선인은 왼팔에 백신을...",http://www.newsis.com/view/?id=NISX20201222_0001278573&cID=10101&pID=10100
1,문 대통령 “백신 접종 우리도 특별히 늦지 않게 할 수 있을 것”,"문재인 대통령이 22일 코로나19 백신 도입에 대해 “우리도 특별히 늦지 않게 국민들께 접종할 수 있을 것이라고 믿고, 준비를 하고 있다”고 밝혔다. 전날도 치료제·백신 연구·개발 예산 확대를 약속했던 문 대통령은...",http://www.hani.co.kr/arti/politics/bluehouse/975353.html
2,"[2보] 靑 ""문대통령, 지난 4월부터 백신 개발·확보 지시""",강민석 청와대 대변인은 이날 서면 브리핑을 통해 지난 4월 9일부터 12월 8일까지 코로나19 백신·치료제 개발 및 물량 확보를 위한 문 대통령의 13건의 지시를 공개했다. 이는 일부 언론이 '문 대통령이 뒤늦게 참모진을...,http://yna.kr/AKR20201222158500001?did=1195m
